lsoa11cd,lsoa_name_2,lad19cd,lad19nm,wimd_deciles,wimd_income_domain_deciles,wimd_employment_domain_deciles,wimd_health_domain_deciles,wimd_education_domain_deciles,wimd_access_to_services_domain_deciles,wimd_housing_domain_deciles,wimd_physical_environment_domain_deciles,wimd_community_safety_domain_deciles,region_name
W01000479,Powys 009B,W06000023,Powys,3,3,4,3,2,5,7,8,3,Mid and South West Wales
W01001375,Caerphilly 001B,W06000018,Caerphilly,2,2,1,1,3,8,4,2,1,South East Wales
W01001385,Caerphilly 002D,W06000018,Caerphilly,2,2,2,1,2,3,2,8,2,South East Wales
W01001406,Caerphilly 001D,W06000018,Caerphilly,2,2,1,3,2,6,5,6,2,South East Wales
W01000890,Neath Port Talbot 015B,W06000012,Neath Port Talbot,10,10,8,9,9,10,9,5,10,Mid and South West Wales
W01000904,Neath Port Talbot 006C,W06000012,Neath Port Talbot,10,10,9,10,9,9,10,7,10,Mid and South West Wales
W01001041,Bridgend 013C,W06000013,Bridgend,10,10,7,8,9,7,10,7,9,South East Wales
W01001416,Caerphilly 008C,W06000018,Caerphilly,6,5,4,4,6,7,8,5,5,South East Wales
W01000141,Conwy 010C,W06000003,Conwy,9,7,7,8,8,6,10,10,8,North Wales
W01000155,Conwy 004A,W06000003,Conwy,9,7,6,8,9,10,8,9,6,North Wales
W01001752,Cardiff 031B,W06000015,Cardiff,8,8,9,6,7,10,8,3,3,South East Wales
W01001470,Blaenau Gwent 001D,W06000019,Blaenau Gwent,6,7,6,7,5,5,9,3,3,South East Wales
W01000568,Pembrokeshire 005A,W06000009,Pembrokeshire,3,3,2,3,4,6,4,5,1,Mid and South West Wales
W01000264,Flintshire 012A,W06000005,Flintshire,9,8,9,8,7,10,10,10,5,North Wales
W01001279,Rhondda Cynon Taf 028F,W06000016,Rhondda Cynon Taf,1,1,1,1,1,6,4,7,3,South East Wales
W01001511,Torfaen 005B,W06000020,Torfaen,6,5,6,4,5,8,5,5,7,South East Wales
W01001580,Monmouthshire 002E,W06000021,Monmouthshire,6,5,4,6,7,5,6,6,5,South East Wales
W01001060,The Vale of Glamorgan 015B,W06000014,Vale of Glamorgan,10,10,9,10,10,7,7,10,9,South East Wales
W01001075,The Vale of Glamorgan 004A,W06000014,Vale of Glamorgan,10,9,9,10,9,10,8,6,8,South East Wales
W01001593,Monmouthshire 008E,W06000021,Monmouthshire,6,5,6,5,4,5,7,4,6,South East Wales
W01000266,Flintshire 017E,W06000005,Flintshire,9,9,9,8,6,8,5,7,6,North Wales
W01000002,Isle of Anglesey 007B,W06000001,Isle of Anglesey,7,6,7,7,9,4,2,10,9,North Wales
W01000761,Swansea 013B,W06000011,Swansea,4,4,5,5,3,9,5,7,1,Mid and South West Wales
W01001295,Merthyr Tydfil 002A,W06000024,Merthyr Tydfil,1,2,1,1,2,3,2,1,2,South East Wales
W01001414,Caerphilly 008A,W06000018,Caerphilly,2,2,2,2,2,6,5,3,2,South East Wales
W01001301,Merthyr Tydfil 008C,W06000024,Merthyr Tydfil,1,1,1,1,2,3,4,7,2,South East Wales
W01000053,Gwynedd 004B,W06000002,Gwynedd,7,9,10,9,9,2,1,8,8,North Wales
W01001464,Blaenau Gwent 009A,W06000019,Blaenau Gwent,2,2,1,1,3,3,4,7,5,South East Wales
W01000289,Flintshire 005A,W06000005,Flintshire,9,8,9,8,7,6,9,9,5,North Wales
W01000299,Flintshire 019A,W06000005,Flintshire,9,9,10,9,9,2,8,9,9,North Wales
W01001664,Newport 010A,W06000022,Newport,1,1,2,3,1,4,7,1,1,South East Wales
W01000641,Carmarthenshire 008A,W06000010,Carmarthenshire,3,4,2,4,4,4,2,7,1,Mid and South West Wales
W01000399,Wrexham 013B,W06000006,Wrexham,9,10,10,9,10,2,3,10,7,North Wales
W01001629,Newport 017A,W06000022,Newport,6,6,5,7,5,6,9,3,3,South East Wales
W01000757,Swansea 017C,W06000011,Swansea,5,4,3,4,4,6,9,9,4,Mid and South West Wales
W01000248,Denbighshire 008D,W06000004,Denbighshire,7,9,10,9,9,1,1,10,8,North Wales
W01001132,The Vale of Glamorgan 008D,W06000014,Vale of Glamorgan,10,9,10,9,9,9,10,8,10,South East Wales
W01001294,Merthyr Tydfil 003B,W06000024,Merthyr Tydfil,10,10,9,8,9,7,8,6,10,South East Wales
W01000432,Powys 014B,W06000023,Powys,9,8,9,9,9,3,10,7,6,Mid and South West Wales
W01001349,Caerphilly 009B,W06000018,Caerphilly,10,9,8,9,9,10,10,6,6,South East Wales
W01001533,Torfaen 012B,W06000020,Torfaen,10,10,10,9,10,6,10,7,8,South East Wales
W01000665,Carmarthenshire 017A,W06000010,Carmarthenshire,9,9,8,9,8,7,7,9,9,Mid and South West Wales
W01000311,Flintshire 011A,W06000005,Flintshire,7,6,7,6,6,6,6,7,6,North Wales
W01001689,Newport 019D,W06000022,Newport,1,1,1,1,1,2,7,1,1,South East Wales
W01001741,Cardiff 039E,W06000015,Cardiff,1,1,1,1,1,3,1,4,2,South East Wales
W01001744,Cardiff 043C,W06000015,Cardiff,1,1,1,2,1,3,4,4,3,South East Wales
W01001811,Cardiff 009A,W06000015,Cardiff,1,1,1,1,1,4,3,1,1,South East Wales
W01001468,Blaenau Gwent 005E,W06000019,Blaenau Gwent,2,3,2,2,2,6,4,7,2,South East Wales
W01001813,Cardiff 017D,W06000015,Cardiff,1,1,1,2,4,5,5,2,2,South East Wales
W01001476,Blaenau Gwent 009D,W06000019,Blaenau Gwent,2,2,2,3,2,3,1,5,2,South East Wales
W01001591,Monmouthshire 011E,W06000021,Monmouthshire,10,10,10,10,9,7,10,2,9,South East Wales
W01000739,Swansea 014B,W06000011,Swansea,3,2,4,2,3,6,3,3,4,Mid and South West Wales
W01001636,Newport 020A,W06000022,Newport,10,10,10,10,10,7,10,2,6,South East Wales
W01001777,Cardiff 001A,W06000015,Cardiff,10,10,10,10,10,8,10,3,8,South East Wales
W01000869,Swansea 024C,W06000011,Swansea,5,5,4,6,9,6,2,7,2,Mid and South West Wales
W01001755,Cardiff 025A,W06000015,Cardiff,8,9,10,9,8,10,1,2,3,South East Wales
W01001758,Cardiff 025D,W06000015,Cardiff,8,9,10,8,9,9,1,1,7,South East Wales
W01001498,Torfaen 011B,W06000020,Torfaen,2,2,3,2,2,8,8,4,2,South East Wales
W01000751,Swansea 002B,W06000011,Swansea,9,9,8,7,9,9,8,8,9,Mid and South West Wales
W01001007,Bridgend 009D,W06000013,Bridgend,5,4,5,3,5,5,6,2,8,South East Wales
W01001838,Cardiff 030D,W06000015,Cardiff,6,7,9,6,8,8,1,2,5,South East Wales
W01001620,Newport 003D,W06000022,Newport,2,3,3,2,1,3,6,4,1,South East Wales
W01001660,Newport 018B,W06000022,Newport,2,2,4,2,2,3,1,1,1,South East Wales
W01000977,Bridgend 003B,W06000013,Bridgend,3,2,3,2,2,3,6,9,7,South East Wales
W01001038,Bridgend 011C,W06000013,Bridgend,5,5,5,3,7,4,6,4,6,South East Wales
W01000764,Swansea 015B,W06000011,Swansea,4,4,6,4,3,7,2,3,5,Mid and South West Wales
W01001779,Cardiff 026A,W06000015,Cardiff,10,10,10,10,10,10,10,2,6,South East Wales
W01001780,Cardiff 026B,W06000015,Cardiff,10,10,9,10,10,10,9,3,8,South East Wales
W01001794,Cardiff 001C,W06000015,Cardiff,10,9,10,10,10,10,10,2,10,South East Wales
W01001676,Newport 007B,W06000022,Newport,2,4,3,5,2,5,1,1,1,South East Wales
W01001051,Bridgend 008E,W06000013,Bridgend,5,3,4,4,5,9,6,9,6,South East Wales
W01001798,Cardiff 002D,W06000015,Cardiff,10,9,9,9,10,9,10,5,10,South East Wales
W01001950,Cardiff 049D,W06000015,Cardiff,10,9,10,10,7,8,8,4,6,South East Wales
W01001956,Swansea 023E,W06000011,Swansea,10,10,10,9,10,10,9,8,10,Mid and South West Wales
W01000135,Conwy 006A,W06000003,Conwy,10,9,8,10,10,9,10,9,10,North Wales
W01001876,Cardiff 037D,W06000015,Cardiff,1,1,1,1,1,4,1,1,3,South East Wales
W01001879,Cardiff 013A,W06000015,Cardiff,1,1,2,1,2,7,8,2,1,South East Wales
W01001931,Wrexham 012G,W06000006,Wrexham,1,2,2,2,1,5,1,5,1,North Wales
W01001764,Cardiff 044A,W06000015,Cardiff,2,2,6,2,5,5,1,1,3,South East Wales
W01000333,Flintshire 009B,W06000005,Flintshire,1,2,2,1,1,5,3,2,1,North Wales
W01000413,Wrexham 010C,W06000006,Wrexham,1,1,1,1,1,2,4,5,1,North Wales
W01000244,Denbighshire 014C,W06000004,Denbighshire,10,10,10,9,10,9,10,10,10,North Wales
W01001164,Rhondda Cynon Taf 019A,W06000016,Rhondda Cynon Taf,5,4,4,5,4,10,3,4,5,South East Wales
W01000759,Swansea 012A,W06000011,Swansea,9,7,7,5,9,9,9,10,8,Mid and South West Wales
W01001269,Rhondda Cynon Taf 010A,W06000016,Rhondda Cynon Taf,5,5,4,6,5,9,7,1,3,South East Wales
W01000268,Flintshire 013B,W06000005,Flintshire,10,10,10,9,10,9,10,8,7,North Wales
W01000346,Wrexham 018B,W06000006,Wrexham,7,9,10,9,8,1,2,7,7,North Wales
W01000776,Swansea 030B,W06000011,Swansea,9,10,9,10,10,2,6,9,10,Mid and South West Wales
W01001908,Monmouthshire 010G,W06000021,Monmouthshire,6,5,6,5,5,4,8,4,6,South East Wales
W01001815,Cardiff 008D,W06000015,Cardiff,8,6,8,7,7,10,7,1,8,South East Wales
W01000796,Swansea 006B,W06000011,Swansea,9,9,8,8,8,5,6,3,10,Mid and South West Wales
W01000429,Powys 010A,W06000023,Powys,7,9,9,10,9,1,5,6,10,Mid and South West Wales
W01000321,Flintshire 014D,W06000005,Flintshire,10,10,10,9,9,10,10,10,10,North Wales
W01000324,Flintshire 012D,W06000005,Flintshire,10,10,10,10,10,7,9,10,10,North Wales
W01001010,Bridgend 012B,W06000013,Bridgend,3,3,2,2,6,5,8,3,8,South East Wales
W01000882,Swansea 029D,W06000011,Swansea,4,3,2,5,4,5,6,10,6,Mid and South West Wales
W01001877,Cardiff 011A,W06000015,Cardiff,8,8,8,6,5,9,9,1,7,South East Wales
W01000425,Wrexham 010E,W06000006,Wrexham,1,1,1,1,1,3,5,9,1,North Wales
W01000511,Ceredigion 009E,W06000008,Ceredigion,1,1,1,3,4,2,1,4,1,Mid and South West Wales
W01000600,Pembrokeshire 013A,W06000009,Pembrokeshire,1,2,1,3,1,6,1,4,1,Mid and South West Wales
W01000928,Neath Port Talbot 020C,W06000012,Neath Port Talbot,4,4,3,4,3,10,5,5,8,Mid and South West Wales
W01000450,Powys 014C,W06000023,Powys,7,10,10,10,8,1,2,6,9,Mid and South West Wales
W01000023,Isle of Anglesey 007D,W06000001,Isle of Anglesey,6,5,7,4,5,2,6,10,8,North Wales
W01000326,Flintshire 018B,W06000005,Flintshire,10,9,10,8,9,9,9,4,9,North Wales
W01001318,Merthyr Tydfil 005D,W06000024,Merthyr Tydfil,5,7,5,5,5,6,3,1,4,South East Wales
W01001903,Powys 018F,W06000023,Powys,8,8,8,9,9,2,4,8,8,Mid and South West Wales
W01001043,Bridgend 004E,W06000013,Bridgend,3,3,2,1,3,7,2,8,4,South East Wales
W01000948,Neath Port Talbot 004D,W06000012,Neath Port Talbot,4,5,4,4,4,8,9,4,1,Mid and South West Wales
W01001788,Cardiff 023D,W06000015,Cardiff,2,1,1,2,4,6,4,1,4,South East Wales
W01000708,Carmarthenshire 025E,W06000010,Carmarthenshire,1,1,1,1,2,6,4,9,3,Mid and South West Wales
W01000033,Isle of Anglesey 003E,W06000001,Isle of Anglesey,2,2,1,2,2,3,9,10,1,North Wales
W01001346,Caerphilly 020D,W06000018,Caerphilly,5,4,5,5,4,8,4,6,4,South East Wales
W01000825,Swansea 031C,W06000011,Swansea,9,8,9,9,10,10,4,8,7,Mid and South West Wales
W01000090,Gwynedd 002D,W06000002,Gwynedd,2,1,4,2,2,2,6,10,3,North Wales
W01000987,Bridgend 007B,W06000013,Bridgend,4,3,4,3,3,6,4,3,7,South East Wales
W01000020,Isle of Anglesey 002B,W06000001,Isle of Anglesey,8,9,8,9,9,1,4,10,9,North Wales
W01000327,Flintshire 018C,W06000005,Flintshire,10,9,10,9,9,9,4,10,8,North Wales
W01000343,Wrexham 007A,W06000006,Wrexham,10,10,9,10,9,10,10,8,10,North Wales
W01000460,Powys 006B,W06000023,Powys,7,7,9,8,8,1,2,8,9,Mid and South West Wales
W01000101,Gwynedd 013D,W06000002,Gwynedd,8,7,7,6,6,5,3,10,7,North Wales
W01001137,Rhondda Cynon Taf 005A,W06000016,Rhondda Cynon Taf,3,2,2,3,3,6,4,3,5,South East Wales
W01000989,Bridgend 013A,W06000013,Bridgend,9,8,9,9,8,5,9,9,6,South East Wales
W01001359,Caerphilly 006D,W06000018,Caerphilly,5,6,5,5,5,7,3,3,4,South East Wales
W01001006,Bridgend 009C,W06000013,Bridgend,9,10,9,7,8,7,9,7,10,South East Wales
W01001037,Bridgend 013B,W06000013,Bridgend,9,10,9,6,9,6,9,6,6,South East Wales
W01001001,Bridgend 010C,W06000013,Bridgend,4,4,4,5,3,5,8,5,5,South East Wales
W01001009,Bridgend 004C,W06000013,Bridgend,4,5,5,2,3,3,2,6,6,South East Wales
W01000149,Conwy 005A,W06000003,Conwy,2,2,2,2,1,7,5,3,2,North Wales
W01001389,Caerphilly 007E,W06000018,Caerphilly,5,5,5,4,5,9,4,4,4,South East Wales
W01000064,Gwynedd 002A,W06000002,Gwynedd,6,5,5,6,7,5,4,7,3,North Wales
W01000482,Powys 008C,W06000023,Powys,7,8,7,9,8,2,5,6,5,Mid and South West Wales
W01000502,Powys 021C,W06000023,Powys,7,7,4,5,8,8,8,4,5,Mid and South West Wales
W01001478,Blaenau Gwent 006C,W06000019,Blaenau Gwent,5,5,5,6,6,8,3,6,1,South East Wales
W01001153,Rhondda Cynon Taf 002C,W06000016,Rhondda Cynon Taf,3,2,2,3,2,9,8,4,5,South East Wales
W01000810,Swansea 003D,W06000011,Swansea,1,1,1,1,2,3,7,5,2,Mid and South West Wales
W01001232,Rhondda Cynon Taf 020D,W06000016,Rhondda Cynon Taf,3,3,3,4,3,6,5,3,4,South East Wales
W01000562,Pembrokeshire 002A,W06000009,Pembrokeshire,7,8,9,10,8,1,4,9,9,Mid and South West Wales
W01000296,Flintshire 003C,W06000005,Flintshire,2,2,2,1,1,5,4,9,3,North Wales
W01000498,Powys 003A,W06000023,Powys,2,2,3,4,1,1,3,9,1,Mid and South West Wales
W01000104,Gwynedd 008C,W06000002,Gwynedd,6,4,5,5,8,9,5,10,5,North Wales
W01001493,Torfaen 008A,W06000020,Torfaen,5,5,4,4,4,6,6,1,7,South East Wales
W01001066,The Vale of Glamorgan 015D,W06000014,Vale of Glamorgan,4,4,4,4,4,8,6,4,3,South East Wales
W01001247,Rhondda Cynon Taf 016C,W06000016,Rhondda Cynon Taf,3,3,3,3,3,8,3,3,6,South East Wales
W01000741,Swansea 014D,W06000011,Swansea,2,2,2,2,4,6,4,7,2,Mid and South West Wales
W01001099,The Vale of Glamorgan 013D,W06000014,Vale of Glamorgan,4,3,4,4,4,6,9,4,6,South East Wales
W01001302,Merthyr Tydfil 006B,W06000024,Merthyr Tydfil,3,3,4,2,2,4,1,3,5,South East Wales
W01000158,Conwy 004D,W06000003,Conwy,8,7,6,8,8,7,9,9,6,North Wales
W01000817,Swansea 009A,W06000011,Swansea,1,1,1,1,1,3,7,9,1,Mid and South West Wales
W01000831,Swansea 013D,W06000011,Swansea,1,1,1,2,1,4,5,5,2,Mid and South West Wales
W01000788,Swansea 016D,W06000011,Swansea,2,2,1,2,2,8,2,5,1,Mid and South West Wales
W01000844,Swansea 005F,W06000011,Swansea,2,2,1,2,3,4,5,9,7,Mid and South West Wales
W01000203,Denbighshire 013A,W06000004,Denbighshire,8,9,9,10,10,1,4,9,9,North Wales
W01000833,Swansea 011C,W06000011,Swansea,1,1,1,1,1,3,4,7,2,Mid and South West Wales
W01000848,Swansea 001D,W06000011,Swansea,2,2,3,2,3,6,4,4,7,Mid and South West Wales
W01001035,Bridgend 014E,W06000013,Bridgend,2,2,2,2,5,3,1,4,2,South East Wales
W01001069,The Vale of Glamorgan 012C,W06000014,Vale of Glamorgan,2,2,2,2,3,9,2,3,1,South East Wales
W01001048,Bridgend 008B,W06000013,Bridgend,9,7,7,6,7,10,7,8,7,South East Wales
W01001338,Caerphilly 004C,W06000018,Caerphilly,3,4,3,3,2,9,1,5,2,South East Wales
W01001171,Rhondda Cynon Taf 017A,W06000016,Rhondda Cynon Taf,4,5,4,5,4,3,4,3,6,South East Wales
W01001189,Rhondda Cynon Taf 029C,W06000016,Rhondda Cynon Taf,4,3,3,2,5,10,5,6,7,South East Wales
W01001233,Rhondda Cynon Taf 001F,W06000016,Rhondda Cynon Taf,4,6,5,3,3,2,8,9,3,South East Wales
W01001256,Rhondda Cynon Taf 019C,W06000016,Rhondda Cynon Taf,4,4,5,3,4,9,1,2,6,South East Wales
W01000109,Gwynedd 012E,W06000002,Gwynedd,6,4,5,6,6,7,5,5,6,North Wales
W01001286,Rhondda Cynon Taf 014E,W06000016,Rhondda Cynon Taf,4,4,4,3,4,9,2,1,5,South East Wales
W01001073,The Vale of Glamorgan 015E,W06000014,Vale of Glamorgan,2,2,1,2,2,5,6,2,2,South East Wales
W01001314,Merthyr Tydfil 005A,W06000024,Merthyr Tydfil,4,5,5,4,5,3,3,2,6,South East Wales
W01001374,Caerphilly 001A,W06000018,Caerphilly,3,3,2,2,2,9,3,6,5,South East Wales
W01000118,Gwynedd 007D,W06000002,Gwynedd,6,6,7,8,7,2,2,2,6,North Wales
W01000577,Pembrokeshire 007A,W06000009,Pembrokeshire,7,8,8,9,8,1,6,5,10,Mid and South West Wales
W01001104,The Vale of Glamorgan 004E,W06000014,Vale of Glamorgan,9,9,8,8,9,5,7,4,3,South East Wales
W01000957,Neath Port Talbot 017D,W06000012,Neath Port Talbot,1,1,1,1,2,4,6,10,3,Mid and South West Wales
W01001081,The Vale of Glamorgan 007A,W06000014,Vale of Glamorgan,1,1,1,1,2,6,6,1,2,South East Wales
W01000242,Denbighshire 014A,W06000004,Denbighshire,6,5,5,5,6,6,5,6,6,North Wales
W01001094,The Vale of Glamorgan 007C,W06000014,Vale of Glamorgan,2,1,2,3,1,5,8,5,4,South East Wales
W01001097,The Vale of Glamorgan 007F,W06000014,Vale of Glamorgan,2,1,3,2,1,6,3,8,3,South East Wales
W01001095,The Vale of Glamorgan 007D,W06000014,Vale of Glamorgan,1,1,1,1,1,6,5,5,3,South East Wales
W01001144,Rhondda Cynon Taf 012B,W06000016,Rhondda Cynon Taf,1,1,1,1,1,2,2,9,3,South East Wales
W01001166,Rhondda Cynon Taf 016A,W06000016,Rhondda Cynon Taf,1,1,2,2,2,4,1,8,5,South East Wales
W01001388,Caerphilly 007D,W06000018,Caerphilly,3,2,2,3,2,7,5,7,1,South East Wales
W01001393,Caerphilly 019D,W06000018,Caerphilly,3,3,2,3,2,7,6,3,4,South East Wales
W01001207,Rhondda Cynon Taf 006D,W06000016,Rhondda Cynon Taf,1,1,1,2,1,3,6,4,4,South East Wales
W01001321,Merthyr Tydfil 007D,W06000024,Merthyr Tydfil,4,4,4,3,3,6,3,8,4,South East Wales
W01001107,The Vale of Glamorgan 011B,W06000014,Vale of Glamorgan,9,8,8,8,9,10,8,7,5,South East Wales
W01001331,Caerphilly 018B,W06000018,Caerphilly,4,3,3,3,3,9,3,6,8,South East Wales
W01001551,Monmouthshire 010C,W06000021,Monmouthshire,5,5,5,3,4,7,5,3,7,South East Wales
W01001138,Rhondda Cynon Taf 005B,W06000016,Rhondda Cynon Taf,2,1,1,2,2,6,4,7,4,South East Wales
W01000623,Pembrokeshire 004D,W06000009,Pembrokeshire,7,9,9,9,8,1,6,10,10,Mid and South West Wales
W01001222,Rhondda Cynon Taf 001E,W06000016,Rhondda Cynon Taf,1,1,1,1,1,2,4,8,3,South East Wales
W01001237,Rhondda Cynon Taf 022B,W06000016,Rhondda Cynon Taf,2,2,2,1,1,4,3,6,6,South East Wales
W01001449,Blaenau Gwent 002D,W06000019,Blaenau Gwent,3,3,2,3,4,8,7,5,2,South East Wales
W01001454,Blaenau Gwent 008E,W06000019,Blaenau Gwent,3,3,3,3,2,3,2,8,2,South East Wales
W01000645,Carmarthenshire 006C,W06000010,Carmarthenshire,7,7,6,6,6,5,3,6,7,Mid and South West Wales
W01001589,Monmouthshire 010E,W06000021,Monmouthshire,5,4,4,6,4,9,9,2,6,South East Wales
W01001292,Merthyr Tydfil 004A,W06000024,Merthyr Tydfil,1,1,1,1,2,2,5,6,2,South East Wales
W01000682,Carmarthenshire 005B,W06000010,Carmarthenshire,7,8,8,10,9,1,4,7,10,Mid and South West Wales
W01001170,Rhondda Cynon Taf 004D,W06000016,Rhondda Cynon Taf,9,9,7,6,6,10,9,4,6,South East Wales
W01000345,Wrexham 018A,W06000006,Wrexham,8,9,9,8,9,1,9,3,10,North Wales
W01000769,Swansea 020B,W06000011,Swansea,10,9,8,9,10,9,10,10,10,Mid and South West Wales
W01000247,Denbighshire 010C,W06000004,Denbighshire,6,7,6,6,7,2,5,6,8,North Wales
W01001355,Caerphilly 015A,W06000018,Caerphilly,4,4,3,3,5,5,6,6,4,South East Wales
W01001398,Caerphilly 024A,W06000018,Caerphilly,9,8,9,6,9,10,10,5,8,South East Wales
W01001702,Cardiff 045A,W06000015,Cardiff,3,3,3,4,2,5,9,5,5,South East Wales
W01001299,Merthyr Tydfil 008A,W06000024,Merthyr Tydfil,1,1,1,1,1,2,5,9,1,South East Wales
W01001303,Merthyr Tydfil 006C,W06000024,Merthyr Tydfil,1,1,1,1,1,2,1,1,3,South East Wales
W01001267,Rhondda Cynon Taf 007C,W06000016,Rhondda Cynon Taf,2,2,1,2,2,3,2,7,6,South East Wales
W01001298,Merthyr Tydfil 002D,W06000024,Merthyr Tydfil,2,3,2,1,4,7,2,4,2,South East Wales
W01001363,Caerphilly 012A,W06000018,Caerphilly,4,4,4,3,3,6,5,4,4,South East Wales
W01001644,Newport 013C,W06000022,Newport,5,5,8,5,3,7,2,1,2,South East Wales
W01000712,Carmarthenshire 015D,W06000010,Carmarthenshire,7,7,6,6,6,8,4,4,9,Mid and South West Wales
W01000404,Wrexham 018D,W06000006,Wrexham,8,8,9,8,8,2,6,9,9,North Wales
W01001868,Cardiff 022D,W06000015,Cardiff,3,2,3,3,2,8,7,2,3,South East Wales
W01000716,Carmarthenshire 016D,W06000010,Carmarthenshire,7,8,7,7,6,4,3,3,8,Mid and South West Wales
W01001523,Torfaen 004C,W06000020,Torfaen,4,4,4,4,3,5,2,5,3,South East Wales
W01001325,Caerphilly 003A,W06000018,Caerphilly,2,3,2,2,2,4,5,7,2,South East Wales
W01000439,Powys 007B,W06000023,Powys,8,9,10,9,8,1,6,5,10,Mid and South West Wales
W01001911,The Vale of Glamorgan 012H,W06000014,Vale of Glamorgan,3,2,3,3,2,8,2,4,6,South East Wales
W01000527,Ceredigion 008A,W06000008,Ceredigion,8,8,8,9,7,9,1,9,2,Mid and South West Wales
W01001404,Caerphilly 011D,W06000018,Caerphilly,9,9,8,8,8,10,8,5,9,South East Wales
W01001759,Cardiff 046A,W06000015,Cardiff,5,4,5,4,7,7,8,1,1,South East Wales
W01000777,Swansea 012B,W06000011,Swansea,10,8,8,7,9,10,9,7,9,Mid and South West Wales
W01001598,Monmouthshire 010F,W06000021,Monmouthshire,4,4,4,4,3,6,5,1,6,South East Wales
W01000056,Gwynedd 009A,W06000002,Gwynedd,3,4,4,4,4,3,1,8,2,North Wales
W01000596,Pembrokeshire 007D,W06000009,Pembrokeshire,8,8,9,8,9,2,8,6,10,Mid and South West Wales
W01000611,Pembrokeshire 004C,W06000009,Pembrokeshire,8,9,8,9,8,1,8,7,9,Mid and South West Wales
W01001634,Newport 019B,W06000022,Newport,4,4,4,4,3,4,4,2,2,South East Wales
W01001332,Caerphilly 018C,W06000018,Caerphilly,2,2,2,2,3,6,2,6,5,South East Wales
W01001456,Blaenau Gwent 004C,W06000019,Blaenau Gwent,2,2,2,3,3,6,2,6,1,South East Wales
W01000338,Flintshire 001C,W06000005,Flintshire,6,6,6,7,5,1,6,10,7,North Wales
W01001040,Bridgend 009F,W06000013,Bridgend,7,7,7,6,7,4,8,6,7,South East Wales
W01001481,Blaenau Gwent 006E,W06000019,Blaenau Gwent,2,2,1,2,4,6,7,2,1,South East Wales
W01001491,Torfaen 004A,W06000020,Torfaen,2,3,3,2,3,5,2,7,2,South East Wales
W01000169,Conwy 001D,W06000003,Conwy,3,4,3,4,6,4,2,4,2,North Wales
W01000172,Conwy 013E,W06000003,Conwy,3,3,3,3,4,4,3,9,2,North Wales
W01001361,Caerphilly 002B,W06000018,Caerphilly,1,2,1,1,1,4,4,8,4,South East Wales
W01001531,Torfaen 003D,W06000020,Torfaen,2,3,3,2,2,4,3,3,1,South East Wales
W01001532,Torfaen 010E,W06000020,Torfaen,2,2,3,2,1,4,4,4,2,South East Wales
W01001648,Newport 015G,W06000022,Newport,4,5,6,5,3,9,7,1,2,South East Wales
W01000213,Denbighshire 002A,W06000004,Denbighshire,3,2,2,3,2,6,3,9,3,North Wales
W01000644,Carmarthenshire 006B,W06000010,Carmarthenshire,8,8,9,7,8,2,8,10,7,Mid and South West Wales
W01001152,Rhondda Cynon Taf 002B,W06000016,Rhondda Cynon Taf,7,7,6,6,7,3,6,5,5,South East Wales
W01001653,Newport 002C,W06000022,Newport,9,9,9,9,8,8,9,2,6,South East Wales
W01000694,Carmarthenshire 008D,W06000010,Carmarthenshire,8,10,9,8,8,2,7,7,4,Mid and South West Wales
W01000781,Swansea 023B,W06000011,Swansea,10,10,9,10,10,10,9,9,10,Mid and South West Wales
W01001714,Cardiff 035A,W06000015,Cardiff,9,10,9,9,10,10,8,1,6,South East Wales
W01001825,Cardiff 029D,W06000015,Cardiff,5,7,5,6,9,7,3,1,2,South East Wales
W01000287,Flintshire 001A,W06000005,Flintshire,3,3,3,3,3,2,2,6,2,North Wales
W01001546,Monmouthshire 002A,W06000021,Monmouthshire,2,2,3,2,4,5,4,4,2,South East Wales
W01000791,Swansea 004A,W06000011,Swansea,10,10,8,8,9,7,10,8,10,Mid and South West Wales
W01001729,Cardiff 014C,W06000015,Cardiff,9,9,9,10,9,7,10,5,3,South East Wales
W01000001,Isle of Anglesey 007A,W06000001,Isle of Anglesey,5,5,4,7,6,2,5,10,5,North Wales
W01000902,Neath Port Talbot 006A,W06000012,Neath Port Talbot,8,8,6,7,7,3,9,5,10,Mid and South West Wales
W01001236,Rhondda Cynon Taf 021G,W06000016,Rhondda Cynon Taf,7,7,7,5,7,6,5,5,4,South East Wales
W01000824,Swansea 031B,W06000011,Swansea,10,9,7,10,10,9,10,9,9,Mid and South West Wales
W01000350,Wrexham 011B,W06000006,Wrexham,3,5,5,4,2,4,1,6,1,North Wales
W01000515,Ceredigion 003A,W06000008,Ceredigion,3,3,2,4,4,3,5,10,6,Mid and South West Wales
W01001899,Powys 021F,W06000023,Powys,4,5,4,3,4,3,4,4,7,Mid and South West Wales
W01000625,Carmarthenshire 013A,W06000010,Carmarthenshire,3,3,2,2,4,5,5,5,3,Mid and South West Wales
W01000652,Carmarthenshire 020B,W06000010,Carmarthenshire,3,4,3,3,3,4,6,7,3,Mid and South West Wales
W01000933,Neath Port Talbot 019B,W06000012,Neath Port Talbot,8,8,9,9,8,3,10,2,5,Mid and South West Wales
W01001773,Cardiff 012A,W06000015,Cardiff,9,8,9,8,9,10,4,2,9,South East Wales
W01001614,Newport 005A,W06000022,Newport,2,1,1,3,2,4,8,3,4,South East Wales
