lsoa11cd,lsoa_name_2,lad19cd,lad19nm,wimd_deciles,wimd_income_domain_deciles,wimd_employment_domain_deciles,wimd_health_domain_deciles,wimd_education_domain_deciles,wimd_access_to_services_domain_deciles,wimd_housing_domain_deciles,wimd_physical_environment_domain_deciles,wimd_community_safety_domain_deciles,region_name
W01000535,Ceredigion 008C,W06000008,Ceredigion,4,6,6,6,6,1,1,6,7,Mid and South West Wales
W01001485,Torfaen 002D,W06000020,Torfaen,2,2,2,2,2,3,7,9,1,South East Wales
W01000330,Flintshire 015E,W06000005,Flintshire,5,4,6,5,2,8,6,3,6,North Wales
W01001488,Torfaen 001B,W06000020,Torfaen,2,2,2,2,1,5,3,4,4,South East Wales
W01000207,Denbighshire 015C,W06000004,Denbighshire,7,9,9,9,8,1,1,7,10,North Wales
W01000256,Flintshire 015B,W06000005,Flintshire,8,6,8,7,5,9,9,7,8,North Wales
W01000265,Flintshire 012B,W06000005,Flintshire,8,9,9,7,7,4,8,4,6,North Wales
W01000209,Denbighshire 016D,W06000004,Denbighshire,6,5,7,7,5,2,5,9,6,North Wales
W01000496,Powys 021B,W06000023,Powys,5,5,5,5,6,1,3,8,7,Mid and South West Wales
W01001751,Cardiff 027D,W06000015,Cardiff,1,1,1,2,3,3,7,4,2,South East Wales
W01001807,Cardiff 007B,W06000015,Cardiff,1,1,2,1,1,4,3,1,3,South East Wales
W01000505,Powys 021E,W06000023,Powys,5,5,4,4,7,2,7,4,5,Mid and South West Wales
W01000605,Pembrokeshire 013F,W06000009,Pembrokeshire,4,5,5,5,2,2,3,6,6,Mid and South West Wales
W01001503,Torfaen 009B,W06000020,Torfaen,2,2,3,2,2,5,4,4,2,South East Wales
W01000636,Carmarthenshire 025B,W06000010,Carmarthenshire,4,4,4,3,3,5,7,9,6,Mid and South West Wales
W01001886,Cardiff 016D,W06000015,Cardiff,1,1,1,1,1,3,6,1,2,South East Wales
W01001767,Cardiff 044D,W06000015,Cardiff,3,3,6,3,3,7,1,1,5,South East Wales
W01000763,Swansea 015A,W06000011,Swansea,4,3,5,6,2,8,1,3,7,Mid and South West Wales
W01000874,Swansea 024F,W06000011,Swansea,9,9,10,9,10,8,1,8,7,Mid and South West Wales
W01000279,Flintshire 008C,W06000005,Flintshire,8,8,7,6,6,8,6,10,7,North Wales
W01000281,Flintshire 008D,W06000005,Flintshire,8,7,7,7,5,10,7,9,8,North Wales
W01000269,Flintshire 020A,W06000005,Flintshire,7,6,6,5,5,9,4,10,8,North Wales
W01000227,Denbighshire 004B,W06000004,Denbighshire,6,4,5,5,6,8,5,6,7,North Wales
W01000509,Ceredigion 009C,W06000008,Ceredigion,5,4,4,6,5,3,9,10,7,Mid and South West Wales
W01000377,Wrexham 004A,W06000006,Wrexham,8,7,8,6,5,7,5,10,6,North Wales
W01000458,Powys 002C,W06000023,Powys,8,8,9,8,9,2,7,3,7,Mid and South West Wales
W01000945,Neath Port Talbot 014E,W06000012,Neath Port Talbot,4,4,3,3,4,2,7,9,9,Mid and South West Wales
W01000428,Powys 005A,W06000023,Powys,7,9,10,10,5,1,4,8,9,Mid and South West Wales
W01000447,Powys 007C,W06000023,Powys,7,8,9,10,8,1,3,6,8,Mid and South West Wales
W01000319,Flintshire 016G,W06000005,Flintshire,6,6,4,7,4,7,8,10,3,North Wales
W01000582,Pembrokeshire 004A,W06000009,Pembrokeshire,5,7,9,9,8,1,1,10,10,Mid and South West Wales
W01000472,Powys 012C,W06000023,Powys,8,9,8,7,7,2,6,9,10,Mid and South West Wales
W01000448,Powys 011B,W06000023,Powys,7,6,6,7,4,4,8,10,6,Mid and South West Wales
W01000481,Powys 008B,W06000023,Powys,8,8,9,7,8,2,9,4,7,Mid and South West Wales
W01001834,Cardiff 033E,W06000015,Cardiff,3,4,5,4,5,5,1,1,3,South East Wales
W01001923,Carmarthenshire 026G,W06000010,Carmarthenshire,3,4,5,5,2,2,7,2,4,Mid and South West Wales
W01000349,Wrexham 011A,W06000006,Wrexham,6,6,6,5,5,5,9,9,2,North Wales
W01000393,Wrexham 009C,W06000006,Wrexham,6,5,6,5,4,9,6,9,1,North Wales
W01000947,Neath Port Talbot 004C,W06000012,Neath Port Talbot,4,3,3,4,3,5,4,9,8,Mid and South West Wales
W01000630,Carmarthenshire 024C,W06000010,Carmarthenshire,5,5,4,5,5,6,2,6,3,Mid and South West Wales
W01000091,Gwynedd 001D,W06000002,Gwynedd,1,1,1,1,2,4,8,10,1,North Wales
W01000719,Carmarthenshire 010E,W06000010,Carmarthenshire,5,5,4,6,6,5,1,8,7,Mid and South West Wales
W01001957,Swansea 025G,W06000011,Swansea,3,3,5,3,5,4,3,2,1,Mid and South West Wales
W01000547,Ceredigion 009G,W06000008,Ceredigion,7,6,7,9,10,1,7,10,10,Mid and South West Wales
W01000558,Pembrokeshire 001A,W06000009,Pembrokeshire,7,7,7,8,7,1,4,7,9,Mid and South West Wales
W01000970,Neath Port Talbot 005D,W06000012,Neath Port Talbot,4,5,4,4,4,5,3,3,9,Mid and South West Wales
W01001063,The Vale of Glamorgan 012A,W06000014,Vale of Glamorgan,4,5,5,4,4,9,1,4,2,South East Wales
W01001526,Torfaen 010B,W06000020,Torfaen,2,2,2,2,2,4,7,3,2,South East Wales
W01001175,Rhondda Cynon Taf 009A,W06000016,Rhondda Cynon Taf,4,4,3,4,7,10,1,4,8,South East Wales
W01001919,Bridgend 017F,W06000013,Bridgend,10,10,10,10,9,10,10,8,10,South East Wales
W01000695,Carmarthenshire 012B,W06000010,Carmarthenshire,3,4,4,3,3,2,5,2,8,Mid and South West Wales
W01000624,Carmarthenshire 005A,W06000010,Carmarthenshire,8,8,8,8,9,1,5,6,10,Mid and South West Wales
W01000400,Wrexham 005C,W06000006,Wrexham,6,4,6,4,5,6,7,9,4,North Wales
W01000676,Carmarthenshire 004A,W06000010,Carmarthenshire,8,9,9,10,8,1,5,8,8,Mid and South West Wales
W01000581,Pembrokeshire 003B,W06000009,Pembrokeshire,7,8,8,9,7,1,4,10,10,Mid and South West Wales
W01001182,Rhondda Cynon Taf 021A,W06000016,Rhondda Cynon Taf,4,4,5,4,2,5,2,9,2,South East Wales
W01000723,Carmarthenshire 012E,W06000010,Carmarthenshire,5,6,6,6,5,1,3,1,8,Mid and South West Wales
W01000754,Swansea 002E,W06000011,Swansea,5,4,3,4,4,8,7,7,5,Mid and South West Wales
W01000727,Carmarthenshire 019E,W06000010,Carmarthenshire,8,7,6,5,6,5,10,10,10,Mid and South West Wales
W01000927,Neath Port Talbot 020B,W06000012,Neath Port Talbot,5,6,5,3,5,3,4,4,8,Mid and South West Wales
W01000618,Pembrokeshire 003D,W06000009,Pembrokeshire,7,8,9,9,7,1,3,4,9,Mid and South West Wales
W01000767,Swansea 015E,W06000011,Swansea,3,3,2,3,2,6,6,4,3,Mid and South West Wales
W01000489,Powys 017A,W06000023,Powys,6,6,6,6,7,4,6,3,6,Mid and South West Wales
